id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Elton Brand,643,24426,12852,6520,1674,592,1334,1617,1993,9789,4920,4088,3010,13,2
Carl Braun,788,18409,10625,2122,2892,0,0,0,2164,10211,3912,3484,2801,0,0
Bill Bridges,926,30878,11012,11054,2553,69,36,0,3375,9463,4181,3824,2650,0,0
Junior Bridgeman,849,21257,11517,2995,2066,685,220,1169,1969,10099,4801,2216,1875,164,40
Fred Brown,963,24422,14018,2637,3160,1149,166,840,1937,12568,6006,2211,1896,295,110
Roger A. Brown,605,21454,10498,3758,2315,103,81,1033,1929,8227,3860,3116,2466,971,312
Kobe Bryant,948,34538,23820,5018,4402,1441,543,2752,2528,18162,8256,7267,6104,3528,1204
Mack Calvin,533,18267,10620,1647,3067,346,16,1213,1613,7763,3502,4104,3554,245,62
Elden Campbell,1045,25776,10805,6116,1199,702,1602,1378,3006,8835,4062,3832,2679,37,2
Austin Carr,682,19660,10473,1990,1878,433,66,470,1394,9714,4359,2181,1753,13,2
Joe Barry Carroll,705,22838,12455,5404,1264,687,1122,1964,2212,10583,5021,3232,2413,13,0
Vince Carter,777,29275,18254,4245,3315,969,602,1851,2351,14931,6667,4681,3728,3168,1192
Bill Cartwright,963,27491,12713,6106,1390,460,668,1892,2833,8868,4656,4412,3401,2,0
Sam Cassell,994,29818,15635,3221,5939,1058,163,2419,2744,12559,5698,4144,3567,2029,672
Tom Chambers,1107,33922,20049,6703,2283,885,627,2549,3742,15749,7378,6274,5066,740,227
Wilt Chamberlain,1045,47859,31419,23924,4643,0,0,0,2075,23497,12681,11862,6057,0,0
Maurice Cheeks,1101,34845,12195,3088,7392,2310,294,2268,2258,9374,4906,2938,2331,204,52
Archie Clark,725,23581,11819,2427,3498,231,15,0,1806,9784,4693,3163,2433,0,0
Derrick Coleman,781,25905,12884,7232,1985,606,1051,2036,2062,10333,4616,4326,3326,1105,326
